罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所の属性,被害者の性別,被害者の年齢,現金被害の有無
窃盗,ひったくり,南,八幡町,141054,神奈川県,横浜市南区,中村町２丁目,2019-02-23,23,その他,女性,40歳代,あり
窃盗,ひったくり,南,吉野町,141054,神奈川県,横浜市南区,白金町２丁目,2019-05-02,20,その他,女性,30歳代,あり
窃盗,ひったくり,南,永田,141054,神奈川県,横浜市南区,永田北１丁目,2019-11-28,22,その他,女性,60-64歳,あり
窃盗,ひったくり,南,浦舟町,141054,神奈川県,横浜市南区,永楽町２丁目,2019-03-09,04,その他,女性,30歳代,あり
窃盗,ひったくり,南,浦舟町,141054,神奈川県,横浜市南区,永楽町２丁目,2019-03-24,01,その他,女性,50歳代,あり
窃盗,ひったくり,南,浦舟町,141054,神奈川県,横浜市南区,永楽町２丁目,2019-04-13,01,その他,女性,30歳代,あり
窃盗,ひったくり,大和,大和駅前,142131,神奈川県,大和市,中央５丁目,2019-06-16,00,その他,男性,40歳代,あり
窃盗,ひったくり,大和,大和駅前,142131,神奈川県,大和市,大和南２丁目,2019-05-31,01,その他,男性,50歳代,あり
窃盗,ひったくり,大和,大和駅前,142131,神奈川県,大和市,深見東１丁目,2019-01-23,03,その他,女性,30歳代,あり
窃盗,ひったくり,大和,鶴間駅前,142131,神奈川県,大和市,西鶴間３丁目,2019-05-15,21,その他,女性,20歳代,あり
窃盗,ひったくり,大和,鶴間駅前,142131,神奈川県,大和市,西鶴間３丁目,2019-05-27,23,その他,女性,65-69歳,あり
窃盗,ひったくり,大和,南林間駅前,142131,神奈川県,大和市,南林間４丁目,2019-04-06,23,その他,女性,20歳代,あり
窃盗,ひったくり,大和,南林間駅前,142131,神奈川県,大和市,南林間８丁目,2019-11-14,07,その他,女性,50歳代,なし
窃盗,ひったくり,大和,桜ヶ丘,142131,神奈川県,大和市,上和田,2019-08-18,00,その他,女性,70歳以上,あり
窃盗,ひったくり,大和,寺尾,142182,神奈川県,綾瀬市,寺尾台１丁目,2019-09-15,18,その他,女性,70歳以上,あり
窃盗,ひったくり,大和,深谷,142182,神奈川県,綾瀬市,深谷中４丁目,2019-01-18,17,その他,女性,60-64歳,あり
窃盗,ひったくり,大和,下鶴間,142131,神奈川県,大和市,下鶴間,2019-07-06,14,その他,女性,70歳以上,あり
窃盗,ひったくり,泉,中田,141160,神奈川県,横浜市泉区,中田東１丁目,2019-08-19,21,その他,女性,20歳代,なし
窃盗,ひったくり,戸塚,東戸塚駅前,141101,神奈川県,横浜市戸塚区,川上町,2019-03-01,22,その他,男性,70歳以上,あり
窃盗,ひったくり,戸塚,東戸塚駅前,141101,神奈川県,横浜市戸塚区,川上町,2019-08-26,21,その他,女性,40歳代,あり
窃盗,ひったくり,旭,鶴ケ峰,141127,神奈川県,横浜市旭区,鶴ケ峰１丁目,2019-06-04,11,その他,女性,70歳以上,なし
窃盗,ひったくり,旭,鶴ケ峰,141127,神奈川県,横浜市旭区,鶴ケ峰１丁目,2019-08-03,23,その他,女性,40歳代,あり
窃盗,ひったくり,旭,鶴ケ峰,141127,神奈川県,横浜市旭区,鶴ケ峰２丁目,2019-08-14,19,その他,女性,20歳代,あり
窃盗,ひったくり,旭,鶴ケ峰,141127,神奈川県,横浜市旭区,鶴ケ峰２丁目,2019-08-19,21,その他,女性,40歳代,あり
窃盗,ひったくり,旭,希望が丘,141127,神奈川県,横浜市旭区,中希望が丘,2019-07-29,20,その他,女性,50歳代,あり
窃盗,ひったくり,旭,希望が丘,141127,神奈川県,横浜市旭区,中希望が丘,2019-08-25,19,その他,女性,65-69歳,あり
窃盗,ひったくり,旭,二俣川,141127,神奈川県,横浜市旭区,本宿町,2019-06-05,20,その他,女性,40歳代,あり
窃盗,ひったくり,旭,白根,141127,神奈川県,横浜市旭区,白根町,2019-06-23,04,その他,女性,20歳代,なし
窃盗,ひったくり,旭,今宿,141127,神奈川県,横浜市旭区,今宿東町,2019-08-29,05,その他,女性,60-64歳,あり
窃盗,ひったくり,加賀町,尾上町,141046,神奈川県,横浜市中区,尾上町４丁目,2019-07-26,12,その他,男性,20歳代,あり
窃盗,ひったくり,山手,見晴通,141046,神奈川県,横浜市中区,本牧町２丁目,2019-12-25,14,その他,女性,60-64歳,あり
窃盗,ひったくり,山手,本牧三之谷,141046,神奈川県,横浜市中区,本牧原,2019-05-01,11,その他,女性,70歳以上,あり
窃盗,ひったくり,山手,本牧三之谷,141046,神奈川県,横浜市中区,本牧原,2019-07-26,18,その他,女性,50歳代,あり
窃盗,ひったくり,山手,港の見える丘公園前,141046,神奈川県,横浜市中区,千代崎町１丁目,2019-05-07,11,その他,女性,50歳代,あり
窃盗,ひったくり,山手,港の見える丘公園前,141046,神奈川県,横浜市中区,山手町,2019-03-14,12,その他,女性,50歳代,あり
窃盗,ひったくり,金沢,六浦,141089,神奈川県,横浜市金沢区,六浦２丁目,2019-07-21,22,その他,男性,50歳代,あり
窃盗,ひったくり,伊勢佐木,伊勢佐木町,141046,神奈川県,横浜市中区,曙町３丁目,2019-06-21,02,その他,女性,30歳代,あり
窃盗,ひったくり,伊勢佐木,伊勢佐木町,141046,神奈川県,横浜市中区,伊勢佐木町５丁目,2019-04-09,02,その他,男性,65-69歳,あり
窃盗,ひったくり,伊勢佐木,伊勢佐木町,141046,神奈川県,横浜市中区,末吉町１丁目,2019-03-12,05,その他,女性,50歳代,あり
窃盗,ひったくり,伊勢佐木,横浜橋,141046,神奈川県,横浜市中区,曙町１丁目,2019-05-10,01,その他,女性,60-64歳,あり
窃盗,ひったくり,伊勢佐木,横浜橋,141046,神奈川県,横浜市中区,曙町３丁目,2019-04-21,04,その他,女性,50歳代,あり
窃盗,ひったくり,伊勢佐木,横浜橋,141046,神奈川県,横浜市中区,末吉町３丁目,2019-12-08,22,その他,女性,20歳代,あり
窃盗,ひったくり,伊勢佐木,横浜橋,141046,神奈川県,横浜市中区,弥生町２丁目,2019-04-13,03,その他,女性,50歳代,あり
