罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所の属性,現金被害の有無
窃盗,自動販売機ねらい,大和,相模大塚駅前,142131,神奈川県,大和市,上草柳３丁目,2018-03-01,02,その他,なし
窃盗,自動販売機ねらい,大和,鶴間駅前,142131,神奈川県,大和市,下鶴間,2018-11-15,12,道路上,あり
窃盗,自動販売機ねらい,大和,南林間駅前,142131,神奈川県,大和市,南林間９丁目,2018-12-17,21,その他,あり
窃盗,自動販売機ねらい,大和,つきみ野駅前,142131,神奈川県,大和市,つきみ野２丁目,2018-03-01,10,その他,なし
窃盗,自動販売機ねらい,大和,中央林間,142131,神奈川県,大和市,中央林間西５丁目,2018-12-19,18,その他,あり
窃盗,自動販売機ねらい,大和,寺尾,142182,神奈川県,綾瀬市,小園,2018-03-05,18,道路上,あり
窃盗,自動販売機ねらい,大和,寺尾,142182,神奈川県,綾瀬市,寺尾北３丁目,2018-10-16,10,道路上,あり
窃盗,自動販売機ねらい,大和,寺尾,142182,神奈川県,綾瀬市,寺尾台１丁目,2018-06-12,19,道路上,あり
窃盗,自動販売機ねらい,大和,寺尾,142182,神奈川県,綾瀬市,寺尾本町１丁目,2018-06-09,08,道路上,あり
窃盗,自動販売機ねらい,大和,深谷,142182,神奈川県,綾瀬市,,2018-06-19,11,道路上,あり
窃盗,自動販売機ねらい,大和,深谷,142182,神奈川県,綾瀬市,深谷南２丁目,2018-03-13,21,道路上,なし
窃盗,自動販売機ねらい,大和,下鶴間,142131,神奈川県,大和市,下鶴間,2017-05-11,00,その他,なし
窃盗,自動販売機ねらい,泉,中田,141160,神奈川県,横浜市泉区,中田西１丁目,2018-04-26,16,その他,あり
窃盗,自動販売機ねらい,泉,下和泉,141160,神奈川県,横浜市泉区,下飯田町,2018-11-29,17,その他,あり
窃盗,自動販売機ねらい,泉,上飯田,141160,神奈川県,横浜市泉区,上飯田町,2018-01-11,17,道路上,あり
窃盗,自動販売機ねらい,泉,いずみ野駅前,141160,神奈川県,横浜市泉区,和泉町,2018-01-29,00,その他,あり
窃盗,自動販売機ねらい,泉,いずみ野駅前,141160,神奈川県,横浜市泉区,和泉町,2018-05-05,20,その他,なし
窃盗,自動販売機ねらい,泉,いずみ野駅前,141160,神奈川県,横浜市泉区,上飯田町,2018-05-31,09,道路上,あり
窃盗,自動販売機ねらい,泉,弥生台駅前,141160,神奈川県,横浜市泉区,岡津町,2018-01-15,17,道路上,あり
窃盗,自動販売機ねらい,泉,弥生台駅前,141160,神奈川県,横浜市泉区,弥生台,2018-01-20,10,その他,あり
窃盗,自動販売機ねらい,泉,弥生台駅前,141160,神奈川県,横浜市泉区,領家４丁目,2018-05-05,23,その他,あり
窃盗,自動販売機ねらい,戸塚,踊場,141101,神奈川県,横浜市戸塚区,汲沢８丁目,2018-09-04,11,その他,あり
窃盗,自動販売機ねらい,戸塚,原宿,141101,神奈川県,横浜市戸塚区,原宿１丁目,2018-03-13,11,駐車（輪）場,あり
窃盗,自動販売機ねらい,戸塚,柏尾,141101,神奈川県,横浜市戸塚区,前田町,2018-04-07,19,その他,あり
窃盗,自動販売機ねらい,戸塚,深谷,141101,神奈川県,横浜市戸塚区,深谷町,2018-12-01,19,その他,あり
窃盗,自動販売機ねらい,戸塚,東戸塚駅前,141101,神奈川県,横浜市戸塚区,川上町,2018-02-26,11,その他,あり
窃盗,自動販売機ねらい,旭,鶴ケ峰,141127,神奈川県,横浜市旭区,鶴ケ峰本町２丁目,2018-02-12,23,その他,あり
窃盗,自動販売機ねらい,旭,鶴ケ峰,141127,神奈川県,横浜市旭区,鶴ケ峰本町２丁目,2018-02-28,06,その他,あり
窃盗,自動販売機ねらい,旭,笹野台,141127,神奈川県,横浜市旭区,矢指町,2018-05-02,18,道路上,あり
窃盗,自動販売機ねらい,磯子,間坂,141071,神奈川県,横浜市磯子区,磯子１丁目,2018-01-02,22,その他,あり
窃盗,自動販売機ねらい,金沢,洲崎,141089,神奈川県,横浜市金沢区,海の公園,2018-03-30,07,その他,あり
窃盗,自動販売機ねらい,金沢,並木,141089,神奈川県,横浜市金沢区,鳥浜町,2018-02-06,15,その他,あり
窃盗,自動販売機ねらい,金沢,幸浦,141089,神奈川県,横浜市金沢区,福浦２丁目,2018-07-11,16,その他,あり
窃盗,自動販売機ねらい,金沢,幸浦,141089,神奈川県,横浜市金沢区,福浦２丁目,2018-11-05,19,その他,あり
窃盗,自動販売機ねらい,伊勢佐木,吉田橋,141046,神奈川県,横浜市中区,長者町６丁目,2018-04-01,13,その他,なし
窃盗,自動販売機ねらい,戸部,横浜駅相鉄口,141038,神奈川県,横浜市西区,北幸２丁目,2018-09-19,15,道路上,あり
窃盗,自動販売機ねらい,戸部,高島,141038,神奈川県,横浜市西区,高島２丁目,2018-12-24,21,その他,あり
窃盗,自動販売機ねらい,戸部,浅間町,141038,神奈川県,横浜市西区,浅間町１丁目,2018-09-26,15,その他,なし
