罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所,発生場所の詳細,現金被害の有無
窃盗,自動販売機ねらい,南,井土ケ谷,141054,神奈川県,横浜市南区,永田南１丁目,2021/1/15,5,その他,その他,あり
窃盗,自動販売機ねらい,南,八幡町,141054,神奈川県,横浜市南区,中村町２丁目,2021/2/14,8,その他,その他,あり
窃盗,自動販売機ねらい,南,南太田,141054,神奈川県,横浜市南区,清水ケ丘,2021/1/25,3,その他,その他,あり
窃盗,自動販売機ねらい,南,南太田,141054,神奈川県,横浜市南区,南太田１丁目,2021/11/27,14,その他,その他,あり
窃盗,自動販売機ねらい,南,吉野町,141054,神奈川県,横浜市南区,前里町２丁目,2021/12/9,2,その他,その他,あり
窃盗,自動販売機ねらい,南,大岡町,141054,神奈川県,横浜市南区,中里１丁目,2021/1/25,18,その他,その他,あり
窃盗,自動販売機ねらい,南,大岡町,141054,神奈川県,横浜市南区,中里１丁目,2021/10/4,14,その他,その他,あり
窃盗,自動販売機ねらい,南,東蒔田町,141054,神奈川県,横浜市南区,堀ノ内町１丁目,2021/1/15,5,その他,その他,なし
窃盗,自動販売機ねらい,南,浦舟町,141054,神奈川県,横浜市南区,白妙町４丁目,2021/1/18,14,その他,その他,あり
窃盗,自動販売機ねらい,南,浦舟町,141054,神奈川県,横浜市南区,高根町３丁目,2021/1/15,16,その他,その他,あり
窃盗,自動販売機ねらい,南,浦舟町,141054,神奈川県,横浜市南区,高根町３丁目,2021/12/27,20,その他,その他,あり
窃盗,自動販売機ねらい,南,通町,141054,神奈川県,横浜市南区,宿町１丁目,2021/10/18,10,その他,その他,あり
窃盗,自動販売機ねらい,南,通町,141054,神奈川県,横浜市南区,宮元町１丁目,2021/11/28,2,その他,その他,あり
窃盗,自動販売機ねらい,南,通町,141054,神奈川県,横浜市南区,宮元町１丁目,2021/12/9,2,その他,その他,なし
窃盗,自動販売機ねらい,大和,大和駅前,142131,神奈川県,大和市,深見西２丁目,2021/12/25,19,その他,その他,あり
窃盗,自動販売機ねらい,大和,寺尾,142182,神奈川県,綾瀬市,寺尾中１丁目,2021/4/1,11,その他,その他,あり
窃盗,自動販売機ねらい,大和,相模大塚駅前,142131,神奈川県,大和市,桜森１丁目,2021/9/25,18,その他,その他,あり
窃盗,自動販売機ねらい,大和,鶴間駅前,142131,神奈川県,大和市,西鶴間１丁目,2021/1/10,2,その他,その他,あり
窃盗,自動販売機ねらい,大和,,141313,神奈川県,川崎市川崎区,本町２丁目,2021/1/3,4,その他,その他,あり
窃盗,自動販売機ねらい,戸塚,上矢部,141101,神奈川県,横浜市戸塚区,名瀬町,2021/10/8,22,その他,その他,あり
窃盗,自動販売機ねらい,戸塚,原宿,141101,神奈川県,横浜市戸塚区,戸塚町,2021/1/31,6,駐車（輪）場,駐車（輪）場,なし
窃盗,自動販売機ねらい,戸塚,原宿,141101,神奈川県,横浜市戸塚区,東俣野町,2021/4/28,12,その他,その他,あり
窃盗,自動販売機ねらい,戸塚,原宿,141101,神奈川県,横浜市戸塚区,原宿１丁目,2021/2/1,12,駐車（輪）場,駐車（輪）場,あり
窃盗,自動販売機ねらい,戸塚,戸塚駅西口,141101,神奈川県,横浜市戸塚区,戸塚町,2021/1/30,23,その他,その他,あり
窃盗,自動販売機ねらい,戸塚,東戸塚駅前,141101,神奈川県,横浜市戸塚区,品濃町,2021/2/4,9,道路上,その他,あり
窃盗,自動販売機ねらい,戸塚,東戸塚駅前,141101,神奈川県,横浜市戸塚区,上品濃,2021/2/6,11,その他,その他,あり
窃盗,自動販売機ねらい,戸塚,踊場,141101,神奈川県,横浜市戸塚区,汲沢１丁目,2021/12/1,10,その他,その他,あり
窃盗,自動販売機ねらい,旭,ひかりが丘,141127,神奈川県,横浜市旭区,上白根町,2021/8/21,12,その他,その他,あり
