罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所,発生場所の詳細,施錠関係,現金被害の有無
窃盗,車上ねらい,南,東蒔田町,141054,神奈川県,横浜市南区,東蒔田町,2020-10-23,17,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,南,東蒔田町,141054,神奈川県,横浜市南区,堀ノ内町２丁目,2020-12-15,16,一戸建住宅,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,南,東蒔田町,141054,神奈川県,横浜市南区,堀ノ内町２丁目,2020-12-15,21,４階建て以上共同住宅,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,南,中村橋,141054,神奈川県,横浜市南区,中村町４丁目,2020-11-01,22,一戸建住宅,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,南,中村橋,141054,神奈川県,横浜市南区,中村町５丁目,2020-02-10,15,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,南,中村橋,141054,神奈川県,横浜市南区,睦町１丁目,2020-01-09,19,駐車（輪）場,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,南,中村橋,141054,神奈川県,横浜市南区,睦町１丁目,2020-09-18,20,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,南,吉野町,141054,神奈川県,横浜市南区,山王町４丁目,2020-12-02,00,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,南,吉野町,141054,神奈川県,横浜市南区,日枝町１丁目,2020-08-09,19,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,南,吉野町,141054,神奈川県,横浜市南区,二葉町２丁目,2020-10-28,17,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,南,吉野町,141054,神奈川県,横浜市南区,前里町２丁目,2020-11-10,00,道路上,その他,施錠した,あり
窃盗,車上ねらい,南,吉野町,141054,神奈川県,横浜市南区,吉野町２丁目,2020-12-10,20,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,南,久保山,141054,神奈川県,横浜市南区,三春台,2020-02-26,21,駐車（輪）場,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,南,久保山,141054,神奈川県,横浜市南区,三春台,2020-04-06,18,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,南,久保山,141054,神奈川県,横浜市南区,三春台,2020-04-16,17,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,南,南太田,141054,神奈川県,横浜市南区,清水ケ丘,2020-01-17,22,道路上,その他,施錠した,あり
窃盗,車上ねらい,南,南太田,141054,神奈川県,横浜市南区,清水ケ丘,2020-05-09,19,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,南,南太田,141054,神奈川県,横浜市南区,南太田２丁目,2020-09-16,21,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,南,南太田,141054,神奈川県,横浜市南区,南太田４丁目,2020-09-19,23,一戸建住宅,その他,施錠した,あり
窃盗,車上ねらい,南,大岡町,141054,神奈川県,横浜市南区,中里３丁目,2020-11-27,21,駐車（輪）場,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,南,井土ケ谷,141054,神奈川県,横浜市南区,井土ケ谷上町,2020-05-02,19,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,南,井土ケ谷,141054,神奈川県,横浜市南区,井土ケ谷下町,2020-05-02,18,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,南,井土ケ谷,141054,神奈川県,横浜市南区,井土ケ谷下町,2020-10-26,00,駐車（輪）場,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,南,井土ケ谷,141054,神奈川県,横浜市南区,井土ケ谷中町,2020-01-09,22,一戸建住宅,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,南,井土ケ谷,141054,神奈川県,横浜市南区,永田東１丁目,2020-05-12,18,４階建て以上共同住宅,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,南,井土ケ谷,141054,神奈川県,横浜市南区,永田南１丁目,2020-05-02,17,４階建て以上共同住宅,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,南,井土ケ谷,141054,神奈川県,横浜市南区,永田南２丁目,2020-10-06,19,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,南,永田,141054,神奈川県,横浜市南区,永田北１丁目,2020-06-05,09,道路上,その他,施錠した,なし
窃盗,車上ねらい,南,永田,141054,神奈川県,横浜市南区,永田北１丁目,2020-12-23,18,一戸建住宅,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,南,永田,141054,神奈川県,横浜市南区,永田北２丁目,2020-07-17,19,駐車（輪）場,駐車（輪）場,施錠した,あり
