罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所の属性,現金以外の主な被害品
窃盗,部品ねらい,南,東蒔田町,141054,神奈川県,横浜市南区,堀ノ内町１丁目,2019-12-07,20,４階建て以上共同住宅,ナンバープレート
窃盗,部品ねらい,南,東蒔田町,141054,神奈川県,横浜市南区,堀ノ内町２丁目,2018-07-20,不明,,ナンバープレート
窃盗,部品ねらい,南,東蒔田町,141054,神奈川県,横浜市南区,蒔田町,2019-08-16,23,４階建て以上共同住宅,ナンバープレート
窃盗,部品ねらい,南,中村橋,141054,神奈川県,横浜市南区,睦町１丁目,2019-09-08,17,４階建て以上共同住宅,ナンバープレート
窃盗,部品ねらい,南,八幡町,141054,神奈川県,横浜市南区,中村町２丁目,2019-05-07,18,,ナンバープレート
窃盗,部品ねらい,南,八幡町,141054,神奈川県,横浜市南区,中村町３丁目,2019-04-19,21,,ナンバープレート
窃盗,部品ねらい,南,八幡町,141054,神奈川県,横浜市南区,八幡町,2019-11-02,19,,ナンバープレート
窃盗,部品ねらい,南,平楽,141054,神奈川県,横浜市南区,平楽,2019-04-20,13,,ナンバープレート
窃盗,部品ねらい,南,吉野町,141054,神奈川県,横浜市南区,新川町１丁目,2019-07-10,15,,ナンバープレート
窃盗,部品ねらい,南,吉野町,141054,神奈川県,横浜市南区,新川町３丁目,2019-07-11,18,,ナンバープレート
窃盗,部品ねらい,南,吉野町,141054,神奈川県,横浜市南区,西中町１丁目,2019-10-11,13,,その他
窃盗,部品ねらい,南,吉野町,141054,神奈川県,横浜市南区,西中町３丁目,2019-11-09,04,,ナンバープレート
窃盗,部品ねらい,南,吉野町,141054,神奈川県,横浜市南区,日枝町１丁目,2019-09-15,18,４階建て以上共同住宅,ナンバープレート
窃盗,部品ねらい,南,吉野町,141054,神奈川県,横浜市南区,日枝町１丁目,2019-11-10,20,,ナンバープレート
窃盗,部品ねらい,南,吉野町,141054,神奈川県,横浜市南区,二葉町１丁目,2019-07-21,18,一戸建住宅,ナンバープレート
