罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所,発生場所の詳細,現金以外の主な被害品
窃盗,部品ねらい,南,久保山,141054,神奈川県,横浜市南区,庚台,2022-05-06,16,一戸建住宅,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,南,久保山,141054,神奈川県,横浜市南区,三春台,2022-08-21,14,一戸建住宅,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,南,井土ケ谷,141054,神奈川県,横浜市南区,井土ケ谷上町,2022-06-24,07,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,南,井土ケ谷,141054,神奈川県,横浜市南区,井土ケ谷下町,2022-06-17,08,駐車（輪）場,駐車（輪）場,その他
窃盗,部品ねらい,南,井土ケ谷,141054,神奈川県,横浜市南区,井土ケ谷下町,2022-07-14,07,その他,駐車（輪）場,その他
窃盗,部品ねらい,南,井土ケ谷,141054,神奈川県,横浜市南区,井土ケ谷下町,2022-09-16,13,４階建て以上共同住宅,駐車（輪）場,その他
窃盗,部品ねらい,南,八幡町,141054,神奈川県,横浜市南区,中村町１丁目,2021-08-01,00,４階建て以上共同住宅,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,南,八幡町,141054,神奈川県,横浜市南区,平楽,2022-09-01,13,道路上,その他,ナンバープレート
窃盗,部品ねらい,南,六ツ川,141054,神奈川県,横浜市南区,永田山王台,2022-04-23,12,駐車（輪）場,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,南,別所町,141054,神奈川県,横浜市南区,別所２丁目,2021-02-12,19,駐車（輪）場,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,南,別所町,141054,神奈川県,横浜市南区,別所２丁目,2022-02-22,07,駐車（輪）場,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,南,別所町,141054,神奈川県,横浜市南区,別所５丁目,2022-04-01,14,４階建て以上共同住宅,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,南,別所町,141054,神奈川県,横浜市南区,別所５丁目,2022-06-11,17,一戸建住宅,その他,その他
窃盗,部品ねらい,南,別所町,141054,神奈川県,横浜市南区,別所７丁目,2022-06-10,17,４階建て以上共同住宅,駐車（輪）場,その他
窃盗,部品ねらい,南,別所町,141054,神奈川県,横浜市南区,別所中里台,2022-06-12,23,駐車（輪）場,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,南,別所町,141054,神奈川県,横浜市南区,別所中里台,2022-09-08,22,その他の住宅（３階建て以下共同住宅等）,その他,ナンバープレート
窃盗,部品ねらい,南,別所町,141054,神奈川県,横浜市南区,別所中里台,2022-10-15,18,駐車（輪）場,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,南,南太田,141054,神奈川県,横浜市南区,清水ケ丘,2022-10-15,19,４階建て以上共同住宅,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,南,南太田,141054,神奈川県,横浜市南区,南太田１丁目,2022-04-07,20,その他の住宅（３階建て以下共同住宅等）,その他,その他
窃盗,部品ねらい,南,南太田,141054,神奈川県,横浜市南区,南太田１丁目,2022-10-16,11,道路上,その他,ナンバープレート
窃盗,部品ねらい,南,南太田,141054,神奈川県,横浜市南区,南太田３丁目,2022-05-29,19,４階建て以上共同住宅,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,南,吉野町,141054,神奈川県,横浜市南区,白金町１丁目,2022-07-18,21,その他,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,南,吉野町,141054,神奈川県,横浜市南区,白金町１丁目,2022-08-29,17,その他,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,南,吉野町,141054,神奈川県,横浜市南区,白金町２丁目,2022-11-11,16,その他,駐車（輪）場,その他
窃盗,部品ねらい,南,吉野町,141054,神奈川県,横浜市南区,高砂町２丁目,2022-11-08,20,４階建て以上共同住宅,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,南,吉野町,141054,神奈川県,横浜市南区,日枝町２丁目,2022-02-17,21,４階建て以上共同住宅,駐車（輪）場,その他
窃盗,部品ねらい,南,吉野町,141054,神奈川県,横浜市南区,二葉町１丁目,2022-01-08,10,４階建て以上共同住宅,その他,その他
窃盗,部品ねらい,南,吉野町,141054,神奈川県,横浜市南区,吉野町４丁目,2022-06-03,11,駐車（輪）場,駐車（輪）場,その他
窃盗,部品ねらい,南,吉野町,141054,神奈川県,横浜市南区,吉野町４丁目,2022-08-23,08,駐車（輪）場,駐車（輪）場,その他
窃盗,部品ねらい,南,大岡町,141054,神奈川県,横浜市南区,大岡３丁目,2022-01-31,15,一戸建住宅,駐車（輪）場,その他
窃盗,部品ねらい,南,大岡町,141054,神奈川県,横浜市南区,大岡３丁目,2022-02-15,17,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,南,大岡町,141054,神奈川県,横浜市南区,中里２丁目,2022-04-01,07,道路上,その他,ナンバープレート
窃盗,部品ねらい,南,大岡町,141054,神奈川県,横浜市南区,中里２丁目,2022-04-26,16,駐車（輪）場,駐車（輪）場,タイヤ・ホイール
窃盗,部品ねらい,南,大池,141054,神奈川県,横浜市南区,永田台,2022-07-06,19,駐車（輪）場,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,南,大池,141054,神奈川県,横浜市南区,永田みなみ台,2022-05-28,22,４階建て以上共同住宅,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,南,大池,141054,神奈川県,横浜市南区,永田みなみ台,2022-06-05,15,４階建て以上共同住宅,その他,ナンバープレート
窃盗,部品ねらい,南,大池,141054,神奈川県,横浜市南区,六ツ川３丁目,2022-09-04,22,４階建て以上共同住宅,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,南,大池,141054,神奈川県,横浜市南区,六ツ川３丁目,2022-09-15,12,４階建て以上共同住宅,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,南,大池,141054,神奈川県,横浜市南区,六ツ川３丁目,2022-11-21,14,４階建て以上共同住宅,駐車（輪）場,その他
窃盗,部品ねらい,南,大池,141054,神奈川県,横浜市南区,六ツ川３丁目,2022-12-02,19,４階建て以上共同住宅,駐車（輪）場,その他
窃盗,部品ねらい,南,大池,141054,神奈川県,横浜市南区,六ツ川３丁目,2022-12-02,22,４階建て以上共同住宅,駐車（輪）場,その他
窃盗,部品ねらい,南,東蒔田町,141054,神奈川県,横浜市南区,共進町１丁目,2022-07-05,16,４階建て以上共同住宅,その他,その他
窃盗,部品ねらい,南,東蒔田町,141054,神奈川県,横浜市南区,堀ノ内町２丁目,2022-05-29,22,その他の住宅（３階建て以下共同住宅等）,その他,ナンバープレート
窃盗,部品ねらい,南,永田,141054,神奈川県,横浜市南区,永田北２丁目,2022-02-26,16,駐車（輪）場,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,南,永田,141054,神奈川県,横浜市南区,永田北２丁目,2022-02-28,08,駐車（輪）場,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,南,永田,141054,神奈川県,横浜市南区,永田北３丁目,2022-06-27,23,一戸建住宅,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,南,永田,141054,神奈川県,横浜市南区,永田東２丁目,2022-07-17,23,駐車（輪）場,駐車（輪）場,ナンバープレート
